分类: 🌎英国体育, 名称: Sky Sports F1 UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 52 ms, 最高速率: 5.88 M/s, 平均速率: 5.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports Cricket UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 93 ms, 最高速率: 5.23 M/s, 平均速率: 5.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports Mix UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 42 ms, 最高速率: 1.86 M/s, 平均速率: 1.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports Golf UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 98 ms, 最高速率: 2.53 M/s, 平均速率: 2.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports Action UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 44 ms, 最高速率: 2.53 M/s, 平均速率: 2.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports Racing UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 191 ms, 最高速率: 1.82 M/s, 平均速率: 1.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports+ UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 141 ms, 最高速率: 8.13 M/s, 平均速率: 8.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: TNT Sports 1 UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 41 ms, 最高速率: 1.95 M/s, 平均速率: 1.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: TNT Sports 2 UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 40 ms, 最高速率: 1.61 M/s, 平均速率: 1.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Premier Sports 2 UK, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: TNT Sports 3 UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 45 ms, 最高速率: 1.92 M/s, 平均速率: 1.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: TNT Sports 4 UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 91 ms, 最高速率: 1.56 M/s, 平均速率: 1.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎意大利体育, 名称: EuroSport 2 UK, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Premier Sports 1 UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 181 ms, 最高速率: 1.56 M/s, 平均速率: 1.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎葡萄牙体育, 名称: Sport TV 2 PT, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 799 ms, 最高速率: 0.22 M/s, 平均速率: 0.22 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎葡萄牙体育, 名称: Sport TV 1 PT, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 482 ms, 最高速率: 0.97 M/s, 平均速率: 0.97 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎希腊体育, 名称: Cosmote Sport 1 GR, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎希腊体育, 名称: Cosmote Sport 2 GR, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
