🕘️更新时间,#genre#
SKY Sport 7 NZ,http://192.168.3.53:8080/hls/8428746097702806525.m3u8
SKY Sport 8 Premier League NZ,http://192.168.3.53:8080/hls/-4360495497786961444.m3u8
SKY Sport 9 NZ,http://192.168.3.53:8080/hls/-2765361604558936029.m3u8

马来西亚,#genre#

新加坡,#genre#
iQIYI,http://192.168.3.53:8080/hls/448215869966312060.m3u8

4K,#genre#
Clarity 4K,http://192.168.3.53:8080/hls/2257097086870467001.m3u8
Loupe 4K,http://192.168.3.53:8080/hls/3828511226493561667.m3u8
Bloomberg TV 4K,http://192.168.3.53:8080/hls/-7399490121846124863.m3u8
Sky Sports F1 4K UK,http://192.168.3.53:8080/hls/-4653384680203504207.m3u8

国际新闻,#genre#
France 24 English FR,http://192.168.3.53:8080/hls/-297930787211197896.m3u8
Euronews FR,http://192.168.3.53:8080/hls/3849655921346844544.m3u8
DW English,http://192.168.3.53:8080/hls/1741635616306379779.m3u8
Al Jazeera English QA,http://192.168.3.53:8080/hls/-5988641723575666232.m3u8

国际电影,#genre#
Sundance TV,http://192.168.3.53:8080/hls/5709985735040581234.m3u8
IFC,http://192.168.3.53:8080/hls/6753081230225339733.m3u8
ScreenPix,http://192.168.3.53:8080/hls/-574568732514296980.m3u8
ScreenPix Action,http://192.168.3.53:8080/hls/8400130382839449371.m3u8
ScreenPix Voices,http://192.168.3.53:8080/hls/2480373735863095939.m3u8
ScreenPix Westerns,http://192.168.3.53:8080/hls/2620147923638262793.m3u8
MoviePlex,http://192.168.3.53:8080/hls/3946728981704430647.m3u8
IndiePlex,http://192.168.3.53:8080/hls/-7046511385834466432.m3u8
RetroPlex,http://192.168.3.53:8080/hls/8084241833280111556.m3u8

国际综合,#genre#
National Geographic,http://192.168.3.53:8080/hls/-8550911220738565631.m3u8
Nat Geo Wild,http://192.168.3.53:8080/hls/-2083821176607164142.m3u8
Discovery Channel,http://192.168.3.53:8080/hls/-1080217519206780783.m3u8
Discovery Life,http://192.168.3.53:8080/hls/-5549704584298186848.m3u8
Discovery Turbo,http://192.168.3.53:8080/hls/3927329375417991863.m3u8
Discovery Family Channel,http://192.168.3.53:8080/hls/-5016346467099194750.m3u8
Animal Planet,http://192.168.3.53:8080/hls/8713202940795749128.m3u8
Science Channel,http://192.168.3.53:8080/hls/-5109817966160817319.m3u8
History Channel,http://192.168.3.53:8080/hls/-3677595768291855994.m3u8
